affinity-inactive,affinity_7E2Y_H-Chembl24,affinity_7E2Y_H-gail_sm,affinity_7E2Y_H-gail_sf,affinity-active
-7.984,-10.24,-9.729,-7.859,-8.939
-7.685,-8.525,-9.34,-8.542,-8.788
-12.84,-9.969,-8.241,-9.045,-9.06
-8.365,-9.371,-9.619,-9.395,-9.652
-8.452,-10.19,-6.632,-11.13,-9.913
-9.254,-8.333,-9.198,-10.19,-9.485
-7.953,-8.312,-12.13,-10.05,-11.61
-7.704,-9.848,-8.507,-8.948,-8.33
-12.56,-10.72,-6.885,-8.526,-10.69
-8.875,-8.908,-12.43,-7.006,-9.449
-7.36,-8.79,-9.109,-7.771,-9.846
-7.283,-9.454,-9.571,-9.343,-10.68
-6.34,-8.974,-6.16,-8.77,-9.561
-9.383,-9.225,-10,-8.376,-8.635
-12.47,-9.108,-8.82,-7.116,-6.775
-6.782,-8.229,-9.303,-12.34,-9.624
-8.831,-10.12,-9.132,-10.36,-8.35
-8.226,-8.902,-9.795,-12.97,-10.13
-8.986,-11.2,-10.48,-10.11,-11.42
-8.473,-9.219,-9.411,-12.65,-9.027
-7.512,-10.67,-8.287,-8.325,-10.62
-8.579,-9.464,-8.201,-7.552,-8.901
-6.505,-10.78,-15.71,-8.856,-9.588
-7.572,-10.44,-8.929,-10.37,-7.033
-8.67,-5.958,-9.578,-13.27,-10.19
-7.97,-8.996,-8.931,-11.72,-8.881
-9.97,-7.711,-6.514,-9.354,-9.901
-10.39,-8.96,-13.63,-9.659,-8.528
-8.404,-10.25,-8.741,-10.02,-9.025
-9.2,-8.063,-9.367,-10.02,-9.178
-7.263,-7.311,-8.98,-8.454,-8.405
-8.846,-9.64,-8.841,-16.86,-7.064
-8.462,-9.246,-9.494,-7.939,-8.288
-7.765,-8.045,-7.793,-8.458,-9.538
-8.726,-8.616,-8.263,-12.41,-8.62
-7.353,-9.223,-9.613,-8.923,-10.03
-5.903,-8.418,-8.41,-11.25,-11.82
-8.219,-9.911,-9.872,-12.37,-9.838
-8.864,-7.177,-8.041,-11.82,-8.609
-7.708,-10.1,-10.23,-9.679,-9.885
-12.73,-9.42,-9.967,-13.22,-8.21
-7.222,-9.168,-9.061,-9.427,-10.81
-9.526,-8.568,-10.28,-8.106,-9.383
-6.849,-8.081,-9.837,-8.003,-9.562
-9.075,-10.6,-8.193,-8.394,-10.5
-7.166,-10,-11.31,-9.648,-7.963
-7.206,-7.656,-7.91,-11.56,-8.198
-6.69,-8.005,-10.39,-7.485,-11.54
-9.038,-9.008,-9.47,-12.81,-10.42
-9.2,-8.71,-7.595,-12.63,-8.92
-10.21,-9.58,-17.16,-13.08,-11.02
-8.825,-10.27,-7.191,-12.33,-8.958
-8.471,-9.147,-9.206,-11.07,-10.09
-7.582,-7.509,-12.81,-8.5,-9.39
-8.555,-7.513,-6.914,-7.467,-9.725
-8.583,-10.48,-13.25,-8.199,-10.71
-8.301,-8.512,-9.324,-10.25,-9.28
-7.294,-7.279,-9.586,-10.27,-9.272
-9.066,-8.89,-7.5,-12.9,-8.657
-7.658,-9.429,-9.244,-9.891,-7.962
-7.562,-9.222,-8.921,-9.662,-9.501
-8.981,-10.47,-9.873,-7.351,-8.858
-6.898,-11.08,-7.922,-8.906,-9.688
-8.389,-10.06,-9.973,-9.872,-10.57
-9.667,-10.44,-9.036,-8.827,-9.412
-8.38,-8.907,-7.992,-8.539,-10.34
-9.235,-9.088,-8.121,-12.38,-11.03
-8.259,-12.08,-9.418,-8.036,-7.357
-9.278,-7.834,-10.04,-8.788,-9.669
-8.842,-8.697,-13.15,-10.92,-9.037
-8.41,-11.11,-9.14,-8.518,-9.059
-8.904,-8.596,-10.21,-8.604,-9.296
-8.086,-9.95,-11.04,-7.822,-9.086
-8.261,-10.71,-14.01,-7.618,-8.998
-7.378,-8.089,-9.534,-9.518,-9.099
-8.95,-8.089,-10.04,-6.514,-10.07
-8.839,-8.901,-9.163,-14.87,-10.78
-7.548,-9.249,-10.07,-9.906,-8.96
-8.144,-9.812,-9.891,-7.547,-8.402
-8.487,-9.858,-10.59,-12.15,-7.115
-10.15,-10.2,-10.31,-8.641,-7.988
-7.039,-7.528,-6.98,-9.013,-8.322
-9.556,-13.33,-8.055,-9.017,-9.094
-6.472,-8.714,-7.674,-14.57,-7.323
-9.005,-9.544,-7.273,-7.915,-8.386
-8.301,-9.54,-9.269,-10.77,-8.163
-11.17,-9.074,-7.613,-13.53,-9.642
-8,-10.17,-11.94,-9.41,-10.62
-7.371,-9.617,-8.068,-11.57,-9.728
-7.02,-8.25,-9.356,-13.13,-9.948
-6.527,-9.536,-8.887,-8.315,-10.22
-8.24,-14.22,-12.03,-9.985,-10.35
-8.377,-9.428,-12.94,-7.37,-8.061
-8.335,-7.813,-10.29,-9.202,-9.295
-8.081,-10.15,-9.072,-10.46,-8.33
-8.457,-9.981,-7.168,-8.03,-8.099
-8.062,-8.926,-9.346,-9.461,-10.12
-7.858,-10.5,-10.96,-10.32,-12.13
