affinity-inactive,affinity_6LUQ_H-Chembl24,affinity_6LUQ_H-gail_sm,affinity_6LUQ_H-gail_sf,affinity-active
-9.552,-8.541,-9.546,-11.52,-8.624
-10.21,-9.985,-13.7,-8.057,-11.65
-9.579,-8.462,-10.56,-8.587,-9.482
-8.619,-7.533,-7.46,-9.145,-8.8
-9.622,-8.434,-10.02,-9.942,-8.651
-7.491,-9.058,-6.643,-8.507,-11.06
-9.127,-10.38,-8.549,-10.45,-6.852
-10.35,-9.243,-13.93,-11.6,-9.721
-8.612,-10.48,-8.525,-10.26,-6.823
-7.653,-5.225,-9.894,-9.653,-7.273
-9.731,-12.35,-9.236,-9.616,-7.471
-8.17,-8.6,-9.132,-11.98,-10.21
-8.924,-9.906,-9.338,-8.749,-12.95
-7.102,-7.504,-8.565,-11.17,-8.523
-8.675,-9.602,-10.02,-7.242,-10.86
-8.376,-9.419,-9.715,-16.37,-11.69
-11.16,-10.8,-7.895,-8.614,-9.927
-8.203,-8.571,-8.999,-9.625,-8.966
-8.842,-8.337,-9.72,-7.268,-9.432
-10.23,-8.388,-8.705,-10.43,-13.83
-8.119,-8.935,-9.098,-9.133,-10.68
-9.217,-9.653,-11.68,-11.59,-10.15
-7.33,-9.106,-8.463,-11.86,-13.63
-9.75,-9.117,-7.43,-7.638,-9.027
-9.332,-8.537,-8.738,-8.128,-9.079
-10.25,-15.4,-9.511,-9.144,-9.004
-8.353,-11.58,-8.871,-10.53,-12.15
-9.797,-8.494,-9.243,-7.371,-13.41
-9.409,-10.18,-10.56,-9.469,-7.968
-7.87,-9.943,-9.882,-8.492,-8.995
-7.868,-9.961,-7.173,-8.176,-7.247
-9.431,-8.536,-9.269,-10.61,-8.109
-8.504,-9.137,-10.65,-11.91,-8.788
-8.503,-12.65,-8.057,-9.128,-9.739
-7.401,-16.25,-8.608,-9.734,-7.018
-9.794,-8.129,-9.813,-13.71,-10.36
-6.578,-7.903,-3.858,-11.24,-10
-7.128,-8.324,-9.31,-9.35,-9.068
-9.025,-8.932,-9.129,-13.27,-9.517
-8.561,-9.838,-10.1,-14.08,-12.42
-8.177,-7.608,-9.257,-7.123,-10.24
-7.768,-9.811,-8.398,-8.949,-9.971
-7.801,-7.108,-8.487,-12.19,-9.326
-10.26,-7.614,-11.75,-10.65,-13.15
-9.194,-6.51,-12.86,-7.006,-9.928
-7.48,-10.11,-9.259,-7.859,-9.592
-9.454,-8.243,-9.957,-13.19,-10.48
-6.814,-9.26,-9.233,-9.425,-7.42
-11.19,-8.234,-11.37,-7.734,-9.574
-6.93,-9.419,-9.619,-8.75,-10.32
-10.46,-11.41,-18.14,-6.837,-8.04
-8.827,-9.577,-6.845,-9.49,-7.849
-7.897,-8.576,-12.33,-12.48,-10.17
-8.967,-8.341,-9.62,-9.798,-9.124
-9.026,-6.893,-8.72,-9.212,-11.17
-9.123,-8.848,-9.446,-11.64,-9.907
-9.26,-9.116,-9.54,-9.732,-8.574
-9.047,-9.27,-9.35,-11.3,-9.088
-9.664,-8.485,-7.371,-7.341,-10.29
-6.843,-7.207,-8.719,-9.142,-9.816
-8.624,-10.34,-8.837,-8.3,-10.61
-9.204,-7.712,-9.997,-7.302,-9.447
-9.801,-9.593,-9.607,-7.419,-7.741
-8.291,-9.267,-8.854,-9.972,-10.81
-9.343,-7.146,-6.017,-13.12,-8.242
-8.84,-8.181,-7.205,-9.178,-8.713
-8.632,-9.55,-11.41,-9.446,-10.13
-10.86,-7.937,-10.62,-9.586,-8.69
-8.986,-7.047,-9.321,-9.427,-10
-9.324,-10.06,-7.01,-8.279,-11.26
-8.043,-8.607,-7.337,-8.079,-8.351
-8.136,-8.603,-10.01,-8.689,-8.972
-8.688,-11.23,-10.74,-8.471,-10.76
-7.822,-10.13,-10.41,-9.683,-11.27
-10.27,-8.631,-9.588,-8.794,-9.3
-7.493,-8.826,-9.924,-8.667,-9.58
-10.53,-10.26,-11.55,-6.277,-8.731
-10.2,-8.835,-10.14,-8.928,-7.231
-9.047,-8.546,-9.472,-11.81,-10.19
-7.523,-6.743,-9.766,-11.91,-10.85
-8.278,-9.796,-11,-10.7,-9.312
-10.36,-8.461,-9.379,-7.186,-9.034
-8.971,-11.17,-8.645,-13.12,-7.66
-7.815,-11.74,-9.036,-8.062,-12.29
-9.201,-8.291,-8.89,-8.955,-10.11
-8.515,-7.392,-10.01,-12.05,-9.737
-9.236,-8.155,-7.025,-8.757,-12.87
-7.384,-10.26,-11.57,-13.62,-11.09
-9.644,-7.227,-9.323,-13.96,-9.273
-8.19,-8.519,-8.556,-9.115,-9.723
-8.284,-9.618,-10.93,-7.335,-9.355
-6.954,-10.45,-6.801,-8.223,-8.938
-8.68,-9.844,-8.269,-6.848,-9.734
-8.67,-10.41,-8.014,-12.1,-9.17
-9.003,-9.495,-9.358,-7.233,-7.345
-9.651,-9.821,-8.537,-8.192,-9.048
-9.043,-8.38,-8.551,-7.223,-9.412
-10.34,-7.001,-10.02,-7.186,-7.605
-9.165,-12.04,-7.68,-9.548,-7.738
-8.974,-8.347,-9.534,-9.529,-11.19
-9.796,-9.857,-9.118,-9.819,-8.998
-7.976,-6.628,-9.556,-7.282,-10.45
-8.399,-8.443,-6.843,-8.947,-7.804
-8.76,-8.866,-8.968,-11.5,-10.08
-11.22,-9.605,-9.205,-9.04,-10.04
-8.815,-9.569,-7.421,-10.39,-7.366
-7.936,-8.478,-10.19,-8.329,-10.27
-9.5,-10.21,-11.23,-9.043,-8.272
-10.58,-9.386,-10.59,-10.89,-8.905
-10.61,-9.737,-6.895,-10.48,-11.69
-8.078,-9.745,-9.61,-14.69,-9.358
-8.278,-9.931,-13.92,-8.471,-8.615
-9.762,-11.82,-10.92,-13.8,-8.899
-10.1,-9.201,-9.529,-8.263,-10.9
-7.18,-8.198,-9.1,-15.88,-7.49
-7.809,-7.62,-9.065,-15.8,-9.97
-7.702,-8.573,-12.41,-9.27,-10.6
-9.566,-9.173,-9.525,-9.587,-10.13
-10.49,-8.184,-9.128,-8.68,-8.057
-10.66,-8.152,-8.589,-7.401,-9.348
-8.532,-9.369,-9.743,-8.954,-12.12
-9.366,-9.729,-8.506,-6.727,-10.61
-7.802,-10.59,-10.73,-10.35,-7.198
-9.503,-9.588,-8.33,-7.683,-13.07
-9.812,-8.468,-14.53,-11.28,-9.095
-8.195,-9.263,-9.561,-7.599,-9.716
-8.169,-9.197,-9.452,-10.41,-9.28
-8.823,-10.83,-6.456,-10.54,-7.95
-9.597,-8.154,-8.487,-8.794,-11.35
-7.887,-8.124,-9.383,-10.59,-9.167
-13.05,-9.296,-8.832,-9.369,-10.23
-8.858,-7.539,-9.353,-8.067,-8.949
-7.555,-8.631,-5.508,-8.612,-9.825
-9.091,-10.24,-10.42,-9.04,-10.91
-9.321,-9.506,-8.694,-9.052,-7.29
-8.578,-10.23,-7.546,-10.76,-9.45
-7.981,-8.323,-9.316,-6.547,-7.484
-8.647,-9.91,-8.044,-7.75,-10.67
-6.741,-9.247,-10.45,-13.01,-10
-8.824,-7.974,-9.042,-9.633,-14.16
-9.085,-9.68,-10.39,-9.656,-9.668
-10.37,-10.85,-10.1,-8.433,-9.79
-9.618,-9.985,-7.516,-9.342,-12.12
-9.137,-9.265,-7.085,-9.677,-8.218
-8.097,-10.15,-10.05,-9.287,-13.78
-9.209,-9.433,-7.238,-11.63,-11.88
-9.931,-8.322,-9.776,-10.43,-9.608
-7.122,-10.63,-12.61,-11.77,-9.825
-7.507,-9.262,-8.846,-8.727,-7.278
-10.05,-9.46,-6.875,-8.588,-11.7
-8.569,-8.082,-11.53,-7.639,-10.26
-8.397,-11.26,-9.446,-6.893,-10.62
-9.656,-9.754,-9.585,-9.285,-9.353
-9.15,-8.685,-6.805,-10.35,-7.539
-9.513,-9.624,-8.401,-8.44,-10.28
-8.545,-8.897,-9.295,-7.848,-7.928
-8.656,-8.455,-8.495,-11.9,-7.517
-8.307,-9.524,-8.947,-10.8,-10.65
-8.982,-9.311,-9.214,-11.72,-10.46
-7.602,-11.4,-10.41,-10.64,-7.187
-8.907,-10.14,-9.998,-11.76,-13.08
-7.368,-10.76,-9.321,-7.491,-10.14
-9.37,-8.743,-7.374,-8.454,-9.618
-8.038,-8.338,-13.59,-7.228,-9.22
-8.83,-11.81,-9.274,-11.39,-9.079
-9.464,-6.071,-9.555,-12.82,-9.734
-6.723,-9.938,-9.287,-11.79,-7.237
-6.965,-7.572,-8.19,-9.748,-8.04
-11.5,-7.987,-13.83,-10.16,-9.417
-8.015,-10.79,-8.64,-10.36,-10.85
-7.554,-9.54,-9.372,-10.36,-11.83
-6.111,-9.305,-8.879,-9.127,-11
-9.858,-10.31,-9.369,-16.94,-10.81
-8.433,-8.006,-7.411,-8.101,-9.565
-9.129,-8.875,-7.66,-9.361,-7.954
-10.08,-8.576,-7.771,-12.91,-13.4
-13.95,-10.3,-9.597,-8.067,-7.495
-7.738,-9.629,-8.735,-10.04,-7.63
-7.917,-9.763,-9.399,-10.91,-9.487
-7.941,-6.47,-9.452,-12.65,-7.787
-6.977,-9.278,-10.67,-9.211,-9.303
-9.741,-8.108,-10.41,-12.07,-7.427
-9.724,-8.256,-9.472,-9.827,-8.885
-8.8,-9.826,-10.92,-7.498,-11.51
-7.979,-7.902,-9.847,-8.244,-9.721
-11.1,-10.29,-9.439,-8.689,-9.731
-9.346,-10.06,-11.88,-8.893,-7.702
-7.713,-8.889,-7.813,-11.11,-10.44
-8.033,-7.675,-10.67,-8.056,-10.52
-8.838,-8.157,-10.16,-11.78,-13.59
-9.783,-9.002,-7.642,-11.17,-7.937
-8.472,-9.906,-17.35,-12.23,-10.07
-8.438,-9.177,-6.935,-13.23,-10.93
-7.755,-7.912,-8.584,-11.16,-11.35
-8.747,-6.833,-11.34,-8.316,-13.77
-9.016,-8.466,-7.353,-6.845,-9.647
-7.087,-10.33,-12.51,-6.727,-9.788
-8.357,-9.095,-9.588,-9.888,-12.95
-8.057,-8.222,-9.35,-10.18,-9.947
-7.501,-7.996,-9.363,-12.32,-10.77
-8.471,-9.788,-9.593,-10.35,-7.067
-7.794,-8.693,-8.916,-9.472,-8.415
-8.28,-10.64,-9.877,-7.75,-8.711
-11.48,-10.68,-8.617,-10,-9.072
